Date,Mkt-RF,SMB,HML,RF,UMD,STREV,LTREV
196006,2.08,-0.17,-0.26,0.24,0.86,1.15,-0.11
196007,-2.37,-0.57,2.12,0.13,-0.78,1.13,0.28
196008,3.01,0.88,-0.17,0.17,1.92,-1.24,1.03
196009,-5.99,-1.14,1.62,0.16,0.29,-0.05,1.29
196010,-0.71,-3.95,2.61,0.22,1.23,-2.14,1.27
196011,4.69,0.29,-2.4,0.13,3.69,0.96,-2.55
196012,4.71,-1.6,-0.71,0.16,1.36,0.77,-0.58
196101,6.2,0.68,3.67,0.19,-3.97,1.18,3.73
196102,3.57,3.94,-0.68,0.14,1.03,1.25,-2.73
196103,2.89,3.19,-0.68,0.2,4.18,1.55,-3.08
196104,0.29,0.12,2.04,0.17,3.52,1.92,0.85
196105,2.4,1.93,0.51,0.18,-1.5,3.52,0.78
196106,-3.08,-2.48,-0.19,0.2,0.26,1.21,-1.67
196107,2.83,-1.9,-0.13,0.18,0.27,1.33,-0.32
196108,2.57,-1.81,-0.19,0.14,1.61,1.08,-1.6
196109,-2.15,-1.12,-0.48,0.17,0.76,-1.56,-2.86
196110,2.57,-1.98,0.61,0.19,3.09,-1.4,-0.51
196111,4.45,1.05,-0.9,0.15,1.35,-0.42,-2.61
196112,-0.18,-1.12,2.21,0.19,-2.25,1.15,3.43
196201,-3.87,1.84,4.99,0.24,-2.01,0.82,6.62
196202,1.81,-1.19,0.89,0.2,-0.96,0.88,1.11
196203,-0.68,0.23,-1.01,0.2,1.82,0.66,-1.08
196204,-6.59,-0.98,0.48,0.22,2.89,-0.77,0.54
196205,-8.65,-3.01,2.31,0.24,0.34,-0.08,3.48
196206,-8.47,-0.77,2.8,0.2,6.42,-2.89,1.74
196207,6.28,1.6,-3.6,0.27,0.71,3.6,-2
196208,2.13,1.24,-1.24,0.23,-0.57,-0.09,-1.11
196209,-5.22,-2.48,1.32,0.21,3.97,2.43,1.79
196210,-0.05,-4.01,1.36,0.25,0.72,-2.1,0.85
196211,10.87,2.58,1.04,0.2,-7.15,5.22,0.73
196212,1.01,-3.79,0.33,0.23,5.8,5.03,-0.41
196301,4.93,3.1,2.19,0.25,-2.11,4.55,1.65
196302,-2.38,0.48,2.25,0.23,2.52,1.56,0.73
